HH Mem 9- Ethnicities,146
HH Mem 9- Self-Identifies As,147
HH Mem 9- Post Secondary Student,148
HH Mem 9- Relationship,149
HH Mem 10- ID,150
HH Mem 10- Status,151
HH Mem 10- Last Name,152
HH Mem 10- First Name,153
HH Mem 10- Date of Birth,154
HH Mem 10- Age,155
HH Mem 10- Gender,156
HH Mem 10- Ethnicities,157
HH Mem 10- Self-Identifies As,158
HH Mem 10- Post Secondary Student,159
HH Mem 10- Relationship,160
HH Mem 11- ID,161
HH Mem 11- Status,162
HH Mem 11- Last Name,163
HH Mem 11- First Name,164
HH Mem 11- Date of Birth,165
HH Mem 11- Age,166
HH Mem 11- Gender,167
HH Mem 11- Ethnicities,168
HH Mem 11- Self-Identifies As,169
HH Mem 11- Post Secondary Student,170
HH Mem 11- Relationship,171
HH Mem 12- ID,172
HH Mem 12- Status,173
HH Mem 12- Last Name,174
HH Mem 12- First Name,175
HH Mem 12- Date of Birth,176
HH Mem 12- Age,177
HH Mem 12- Gender,178
HH Mem 12- Ethnicities,179
HH Mem 12- Self-Identifies As,180
HH Mem 12- Post Secondary Student,181
HH Mem 12- Relationship,182
HH Mem 13- ID,183
HH Mem 13- Status,184
HH Mem 13- Last Name,185
HH Mem 13- First Name,186
HH Mem 13- Date of Birth,187
HH Mem 13- Age,188
HH Mem 13- Gender,189
HH Mem 13- Ethnicities,190
HH Mem 13- Self-Identifies As,191
HH Mem 13- Post Secondary Student,192
HH Mem 13- Relationship,193
HH Mem 14- ID,194
HH Mem 14- Status,195
HH Mem 14- Last Name,196
HH Mem 14- First Name,197
HH Mem 14- Date of Birth,198
HH Mem 14- Age,199
HH Mem 14- Gender,200
HH Mem 14- Ethnicities,201
HH Mem 14- Self-Identifies As,202
HH Mem 14- Post Secondary Student,203
HH Mem 14- Relationship,204
HH Mem 15- ID,205
HH Mem 15- Status,206
HH Mem 15- Last Name,207
HH Mem 15- First Name,208
HH Mem 15- Date of Birth,209
HH Mem 15- Age,210
HH Mem 15- Gender,211
HH Mem 15- Ethnicities,212
HH Mem 15- Self-Identifies As,213
HH Mem 15- Post Secondary Student,214
HH Mem 15- Relationship,215
